ID,Dispersed,Treatment,Plot
1,1,26,1
2,1,26,1
3,1,26,1
4,1,26,1
5,1,26,1
6,1,26,1
7,1,26,1
8,1,26,1
9,1,26,1
10,1,26,1
11,1,26,1
12,1,26,1
13,0,26,1
14,0,26,1
15,0,26,1
16,0,26,1
17,0,26,1
18,1,26,1
19,0,26,1
20,0,26,1
21,0,26,2
22,0,26,2
23,1,26,2
24,0,26,2
25,1,26,2
26,0,26,2
27,0,26,2
28,1,26,2
29,0,26,2
30,0,26,2
31,0,26,2
32,0,26,2
33,0,26,2
34,0,26,2
35,0,26,2
36,0,26,2
37,0,26,2
38,0,26,2
39,0,26,2
40,1,26,2
41,0,26,3
42,0,26,3
43,0,26,3
44,0,26,3
45,1,26,3
46,0,26,3
47,0,26,3
48,0,26,3
49,0,26,3
50,0,26,3
51,0,26,3
52,1,26,3
53,1,26,3
54,0,26,3
55,0,26,3
56,0,26,3
57,0,26,3
58,0,26,3
59,0,26,3
60,0,26,3
61,0,26,4
62,0,26,4
63,0,26,4
64,1,26,4
65,0,26,4
66,0,26,4
67,1,26,4
68,0,26,4
69,0,26,4
70,1,26,4
71,0,26,4
72,0,26,4
73,0,26,4
74,0,26,4
75,0,26,4
76,0,26,4
77,0,26,4
78,1,26,4
79,0,26,4
80,1,26,4
81,0,28,5
82,0,28,5
83,1,28,5
84,0,28,5
85,1,28,5
86,0,28,5
87,1,28,5
88,0,28,5
89,1,28,5
90,1,28,5
91,0,28,5
92,0,28,5
93,1,28,5
94,0,28,5
95,0,28,5
96,1,28,5
97,0,28,5
98,1,28,5
99,0,28,5
100,0,28,5
101,0,28,6
102,1,28,6
103,1,28,6
104,0,28,6
105,1,28,6
106,0,28,6
107,0,28,6
108,0,28,6
109,1,28,6
110,0,28,6
111,0,28,6
112,1,28,6
113,0,28,6
114,1,28,6
115,1,28,6
116,1,28,6
117,0,28,6
118,0,28,6
119,0,28,6
120,1,28,6
121,0,28,7
122,0,28,7
123,1,28,7
124,1,28,7
125,0,28,7
126,1,28,7
127,0,28,7
128,1,28,7
129,1,28,7
130,1,28,7
131,1,28,7
132,0,28,7
133,0,28,7
134,0,28,7
135,0,28,7
136,1,28,7
137,0,28,7
138,0,28,7
139,0,28,7
140,0,28,7
141,0,28,8
142,1,28,8
143,1,28,8
144,0,28,8
145,1,28,8
146,0,28,8
147,0,28,8
148,0,28,8
149,0,28,8
150,1,28,8
151,0,28,8
152,1,28,8
153,0,28,8
154,0,28,8
155,0,28,8
156,1,28,8
157,1,28,8
158,0,28,8
159,0,28,8
160,0,28,8
161,0,30,9
162,1,30,9
163,0,30,9
164,1,30,9
165,0,30,9
166,1,30,9
167,1,30,9
168,0,30,9
169,0,30,9
170,1,30,9
171,0,30,9
172,1,30,9
173,0,30,9
174,1,30,9
175,0,30,9
176,1,30,9
177,1,30,9
178,0,30,9
179,1,30,9
180,1,30,9
181,1,30,10
182,0,30,10
183,1,30,10
184,0,30,10
185,1,30,10
186,0,30,10
187,1,30,10
188,1,30,10
189,1,30,10
190,0,30,10
191,1,30,10
192,0,30,10
193,1,30,10
194,0,30,10
195,1,30,10
196,1,30,10
197,1,30,10
198,0,30,10
199,0,30,10
200,0,30,10
201,0,30,11
202,1,30,11
203,1,30,11
204,1,30,11
205,0,30,11
206,0,30,11
207,1,30,11
208,0,30,11
209,1,30,11
210,1,30,11
211,1,30,11
212,1,30,11
213,0,30,11
214,1,30,11
215,0,30,11
216,1,30,11
217,0,30,11
218,0,30,11
219,1,30,11
220,1,30,11
221,1,30,12
222,0,30,12
223,1,30,12
224,1,30,12
225,1,30,12
226,1,30,12
227,0,30,12
228,1,30,12
229,0,30,12
230,0,30,12
231,1,30,12
232,1,30,12
233,0,30,12
234,1,30,12
235,0,30,12
236,1,30,12
237,0,30,12
238,1,30,12
239,1,30,12
240,1,30,12
